0,1
Patrick Watson,"['Tom Rosenthal', 'Winter Aid', 'SYML', 'RY X', 'Tom Odell']"
,[]
The Palms,"['Foreign Air', 'Matt Maeson', 'Dennis Lloyd', 'Tash Sultana', 'Milky Chance']"
Passenger,"['Stu Larsen', 'James Bay', 'Mumford & Sons', 'Mighty Oaks', 'Vance Joy']"
Tamaryn,"['Blouse', 'Pinkshinyultrablast', 'No Joy', 'The Daysleepers', 'Ringo Deathstarr']"
The Presets,"['Sneaky Sound System', 'PNAU', 'Art vs. Science', 'Cut Copy', 'Midnight Juggernauts']"
Good Morning,"['LOVING', 'HOMESHAKE', 'Banes World', 'Brad stank', 'Cosmo Pyke']"
Zak Abel,"['Sandro Cavazza', 'John Newman', 'Avicii', 'Two Another', 'Kwabs']"
Kazy Lambist,"['Kid Francescoli', 'Camel Power Club', 'Jabberwocky', 'Synapson', 'Møme']"
Squeeze,"['Elvis Costello & The Attractions', 'Elvis Costello', 'Joe Jackson', 'Marshall Crenshaw', 'Nick Lowe']"
Lena Carrilero,"['Fran Mariscal', 'Adriana Moragues', 'Road Ramos', 'Kutxi Romero', 'Pedro Pastor']"
Rosana,"['Ella Baila Sola', 'Ana Belén', 'Deborah Blando', 'La Oreja de Van Gogh', 'Diego Torres']"
Nick Mulvey,"['Blanco White', 'Roo Panes', 'Charlie Cunningham', 'Ben Howard', 'Dekker']"
Ben Howard,"['Nick Mulvey', ""Bear's Den"", 'Benjamin Francis Leftwich', 'James Vincent McMorrow', 'A Blaze Of Feather']"
Emilio José,"['Marcelo Criminal', 'Ataque Escampe', 'Andrés Do Barro', 'Juan Pardo', 'GRANDE AMORE']"
Fran Mariscal,"['Lena Carrilero', 'Capitán Cobarde', 'cobardes', 'Héroes 2020', 'Embusteros']"
Takuya Kuroda,"['Yussef Dayes', 'Erik Truffaz', 'Butcher Brown', 'Alfa Mist', 'Roy Hargrove']"
"Canovas, Rodrigo, Adolfo Y Guzman",[]
Broken Back,"['Henry and the Waiter', 'Lilly Wood & The Prick', 'Cats on Trees', 'Cocoon', 'Deluxe']"
Talisco,"['Lilly Wood & The Prick', 'Naive New Beaters', 'Elephanz', 'Diva Faune', 'Pony Pony Run Run']"
