id,artist_name,track_name,genre,year
1dlvCR47icv2BCiBCSF204,Celso Mendes,It Ain't over Til' It's Over,pop,2013
6nyZQ82OI0OujbbFpo3e0K,John Legend,All of Me - Live from Spotify Milan,pop,2013
7C5l5hLxS4uZX1VJR13ZBT,Miguel Bosé,Si tú no vuelves,pop,2013
1zVhMuH7agsRe6XkljIY4U,Christina Perri,human,pop,2013
0pqCMHN3IVkBDlWAg0kiVa,SEREBRO,Mi Mi Mi,pop,2013
7JmIjOsRish3vYBSLTytEC,Ariana Grande,Tattooed Heart,pop,2013
6ToFxXRBtl5TJFEyIoYK3f,Justin Timberlake,Mirrors - Radio Edit,pop,2013
1KbX1VuFIgsRa9JjnQtRYA,Carlos Vives,Bailar Contigo,pop,2013
5zvJELVKAnPkscGc5aLKJI,James Arthur,Certain Things (feat. Chasing Grace),pop,2013
5zvJELVKAnPkscGc5aLKJI,Chasing Grace,Certain Things (feat. Chasing Grace),pop,2013
4kiCjwxqO47NEfr5kdPG3A,Sergio Contreras,#Amor (feat. Fernando Caro),pop,2013
6NmCCgnQcxKHPOAKgd9Nth,Ariana Grande,Baby I,pop,2013
34MJ07N9Bhu6iKPaxSVnCT,Demi Lovato,Neon Lights,pop,2013
3fibIzbkYbvTmdoD5u2nPm,Lady Gaga,Aura,pop,2013
5SmXEPnevlRjBPWBG7oKIi,Ariana Grande,Honeymoon Avenue,pop,2013
1JVf7tzhspVTRrRHxiJhD5,Michael Bublé,To Love Somebody,pop,2013
73zDQykFwu3yT5VQ6MwYbh,Lady Gaga,ARTPOP,pop,2013
0tSE3FNeqYVuTQIy1s67Az,Miguel Bosé,Morena mía,pop,2013
59ItlxP6jInKKJvviwJQu4,Fondo Flamenco,El Salon,pop,2013
7zMqrnUGpJE4IQ4LaGMx7N,Silver Pozzoli,Around My Dream,pop,2013
4N3q8LWLrPstV5FoqJXyrj,María Artés,Eres mi amor (feat. Demarco),pop,2013
26XUAwGZqQEyy8Ubhtj4kq,will.i.am,Feelin' Myself,pop,2013
26XUAwGZqQEyy8Ubhtj4kq,Miley Cyrus,Feelin' Myself,pop,2013
26XUAwGZqQEyy8Ubhtj4kq,French Montana,Feelin' Myself,pop,2013
26XUAwGZqQEyy8Ubhtj4kq,Wiz Khalifa,Feelin' Myself,pop,2013
26XUAwGZqQEyy8Ubhtj4kq,Mustard,Feelin' Myself,pop,2013
7d1CFwrBmH34gmS0Hkbfbt,Zendaya,Replay,pop,2013
4pi0Elz7B7cLfw37J3bYm9,EXO,Growl,pop,2013
7GCElX2eJA5t0AFWw3WzKn,Katy Perry,This Is How We Do,pop,2013
1bumlOqo6y4hmPSVgRjPXi,Sergio Contreras,Todos los besos,pop,2013
4bLtrrVDspeDNSaHGGMQkB,BTS,If I Ruled the World,pop,2013
4jhrsCoNiei37ankpBSMOt,Carlos Baute,En el buzón de tu corazón,pop,2013
7dQGDSVjt1vS6BsDURjYhS,Bruno Mars,Treasure - Cash Cash Radio Mix,pop,2013
54X4tsc4YnvhliQQjP1T0V,DJ Antoine,You're Ma Cherie - DJ Antoine vs Mad Mark 2K13 Radio Edit,pop,2013
