artist_name,similar_artist_name
Michael Bublé,"Harry Connick, Jr."
B.o.B,Flo Rida
B.o.B,Macklemore & Ryan Lewis
B.o.B,T.I.
B.o.B,Chiddy Bang
B.o.B,Nelly
Charli xcx,Sophie
Charli xcx,Slayyyter
Charli xcx,Caroline Polachek
Charli xcx,Sky Ferreira
Charli xcx,A. G. Cook
Zone Tripper,Planet Hunter
Zone Tripper,Electric Dark Souls
Zone Tripper,Moskva-Kassiopeya
Zone Tripper,3 Force
Zone Tripper,Red MarKer
Bruno Mars,"Bruno Mars, Anderson .Paak, Silk Sonic"
Bruno Mars,Charlie Puth
Bruno Mars,"Bruno Mars, Anderson .Paak & Silk Sonic"
Bruno Mars,Maroon 5
Bruno Mars,Ne-Yo
Cashmere Cat,Mura Masa
Cashmere Cat,Snakehips
Cashmere Cat,Flume
Cashmere Cat,Kiiara
Cashmere Cat,Hudson Mohawke
DJ Bobo,Masterboy
DJ Bobo,Ice MC
DJ Bobo,Fun Factory
DJ Bobo,Captain Hollywood Project
DJ Bobo,Magic Affair
Block B,Block B - Bastarz
Block B,ZICO
Block B,B.A.P
Block B,2PM
Block B,VIXX
Rajat Arora,Sunil Panda-The Educator
Rajat Arora,THE GAURAV JAIN
Rajat Arora,ExtraClass
Rajat Arora,T-Series
Rajat Arora,Students Heaven
Toco,Tamba 4
Toco,The Ipanemas
Toco,Rosalia De Souza
Toco,Roberto Menescal E Seu Conjunto
Toco,Ed Lincoln
ChocQuibTown,Carlos Vives
ChocQuibTown,Bomba Estéreo
ChocQuibTown,Fonseca
ChocQuibTown,Andrés Cepeda
ChocQuibTown,Piso 21
James Arthur,Dean Lewis
James Arthur,Lewis Capaldi
James Arthur,Calum Scott
James Arthur,James TW
James Arthur,Henry Moodie
Vinícius de Moraes,Toquinho
Vinícius de Moraes,Chico Buarque
Vinícius de Moraes,Baden Powell
Vinícius de Moraes,Vinicius de Moraes
Vinícius de Moraes,João Donato
Holly Walker,Cash+David
Holly Walker,A House In The Trees
Holly Walker,Malihini
Holly Walker,Khazali
Holly Walker,Martha Da'ro
Juanes,Bacilos
Juanes,Carlos Vives
Juanes,Maná
Juanes,Chayanne
Juanes,Fonseca
Ty Dolla $ign,Kanye West
Ty Dolla $ign,¥$
Ty Dolla $ign,"¥$, Kanye West & Ty Dolla $ign"
Ty Dolla $ign,Offset
Ty Dolla $ign,King Combs
2 In A Room,49ers
2 In A Room,Black Box
2 In A Room,Cappella
2 In A Room,Technotronic
2 In A Room,Mr. Lee
Elvis Crespo,Los Hermanos Rosario
Elvis Crespo,La Makina
Elvis Crespo,Eddy Herrera
Elvis Crespo,Wilfrido Vargas
Elvis Crespo,Oro Solido
Maki,NIO
Maki,Cup of Joe
Maki,Rob Deniel
Maki,Eliza Maturan
Maki,Zack Tabudlo
SOYOU,Sondia
SOYOU,DAVICHI
SOYOU,Gummy
SOYOU,에일리
SOYOU,Kim Na Young
AOA,SISTAR
AOA,Girl's Day
AOA,EXID
AOA,HELLO VENUS
AOA,9MUSES
Helene Fischer,Andrea Berg
Helene Fischer,Maite Kelly
Helene Fischer,Beatrice Egli
Helene Fischer,Roland Kaiser
Helene Fischer,Anna-Maria Zimmermann
Carlos Vives,Fonseca
Carlos Vives,Bacilos
Carlos Vives,Juanes
Carlos Vives,ChocQuibTown
Carlos Vives,Silvestre Dangond
Jennie,JISOO
Jennie,BLACKPINK
Jennie,Rosé
Jennie,Lisa
Jennie,Meovv
Anarbor,makeout
Anarbor,Forever the Sickest Kids
Anarbor,Every Avenue
Anarbor,With Confidence
Anarbor,Waterparks
Jasmine Thompson,Madilyn Bailey
Jasmine Thompson,James TW
Jasmine Thompson,Sofia Karlberg
Jasmine Thompson,Kina Grannis
Jasmine Thompson,Calum Scott
Pets tseng,Jia Jia
Pets tseng,TANK 呂建忠
Pets tseng,Rachel Liang
Pets tseng,Claire Kuo
Pets tseng,Nicky Lee
Mike Bahía,Greeicy
Mike Bahía,Piso 21
Mike Bahía,Camilo
Mike Bahía,Fonseca
Mike Bahía,TIMØ
Tomasito,Calima
Tomasito,Lumbre
Tomasito,El Canijo de Jerez
Tomasito,Los Aslándticos
Tomasito,Raimundo Amador
Coldplay,Keane
Coldplay,Imagine Dragons
Coldplay,OneRepublic
Coldplay,Snow Patrol
Coldplay,U2
Robyn,Röyksopp & Robyn
Robyn,Robyn & La Bagatelle Magique
Robyn,Lily Allen
Robyn,Agnes
Robyn,Kylie Minogue
Christina Perri,Rachel Platten
Christina Perri,Colbie Caillat
Christina Perri,Sara Bareilles
Christina Perri,Alex & Sierra
Christina Perri,A Great Big World
Andrew Bird,Iron & Wine
Andrew Bird,Madison Cunningham
Andrew Bird,M. Ward
Andrew Bird,Beirut
Andrew Bird,Fruit Bats
The Weeknd,Tory Lanez
The Weeknd,Black Atlass
The Weeknd,Drake
The Weeknd,PARTYNEXTDOOR
The Weeknd,Don Toliver
French Montana,DJ Khaled
French Montana,Meek Mill
French Montana,Max B
French Montana,Jim Jones
French Montana,Fabolous
Gigi D'Agostino,DJ Ross
Gigi D'Agostino,Prezioso
Gigi D'Agostino,Alice Deejay
Gigi D'Agostino,Eiffel 65
Gigi D'Agostino,Sash!
Shy Carter,Katy Tiz
Shy Carter,Josh Melton
Shy Carter,Chris Moreno
Shy Carter,Callista Clark
Shy Carter,Josh Ramsay
Omega,Ken Hensley
Omega,Uriah Heep
Omega,Czesław Niemen
Omega,Manfred Mann's Earth Band
Omega,SBB
Pink Martini,Gotan Project
Pink Martini,Stacey Kent
Pink Martini,Paris Combo
Pink Martini,Madeleine Peyroux
Pink Martini,Club Des Belugas
Nick Jonas,Jonas Brothers
Nick Jonas,Joe Jonas
Nick Jonas,Nick Jonas & the Administration
Nick Jonas,DNCE
Nick Jonas,Kevin Jonas
Maluma,J Balvin
Maluma,Nicky Jam
Maluma,Ozuna
Maluma,Piso 21
Maluma,Manuel Turizo
Nicolas Mayorca,Critika & Saik
Nicolas Mayorca,Henry Mendez
Nicolas Mayorca,Xriz
Nicolas Mayorca,DCS
Nicolas Mayorca,YANDAR
Ha*Ash,Jesse & Joy
Ha*Ash,Reik
Ha*Ash,Camila
Ha*Ash,Sin Bandera
Ha*Ash,La Quinta Estación
Djane HouseKat,Kyanu
Djane HouseKat,R.I.O.
Djane HouseKat,Marc Korn
Djane HouseKat,Klaas
Djane HouseKat,The Hitmen
Sam Martin,Amy Guess
Sam Martin,Ashworth
Sam Martin,Elyaz
Sam Martin,MSTR ROGERS
Sam Martin,Sleeping Wolf
Shakira,Paulina Rubio
Shakira,Belinda
Shakira,Thalía
Shakira,Julieta Venegas
Shakira,Gloria Trevi
Alkilados,Dalmata
Alkilados,Andy Rivera
Alkilados,Mike Bahía
Alkilados,Ñejo & Dalmata
Alkilados,Piso 21
Toquinho,Vinícius de Moraes
Toquinho,Vinicius de Moraes
Toquinho,Miúcha
Toquinho,Chico Buarque
Toquinho,Elis Regina
2PM,Jun.K
2PM,MBLAQ
2PM,Lee JunHo
2PM,Infinite
2PM,TEEN TOP
Beluga's Trio,General Soundbwoy
Beluga's Trio,BossArt Ensemble
Beluga's Trio,Celso Mendes
Beluga's Trio,Lizette
Beluga's Trio,Dinah York
Justin Bieber,Shawn Mendes
Justin Bieber,Zayn
Justin Bieber,Ariana Grande
Justin Bieber,Chris Brown
Justin Bieber,Austin Mahone
BANKS,MØ
BANKS,VÉRITÉ
BANKS,Tove Lo
BANKS,Lykke Li
BANKS,Broods
Mr. Juve,Susanu
Mr. Juve,Iuly Neamtu
Mr. Juve,Dj Magic Romania
Mr. Juve,Liviu Guta
Mr. Juve,DENIS RAMNICEANU
Benjamin Clementine,Antony and the Johnsons
Benjamin Clementine,Sophie Hunger
